Level,Date and Time,Source,Event ID,lof_score,is_anomaly
Information,12/18/2016 5:25:56 PM,Service Control Manager,7036.0,174121860.06409463,True
Information,12/18/2016 5:25:56 PM,Service Control Manager,7036.0,196069993.65410662,True
Information,12/18/2016 5:25:56 PM,Service Control Manager,7036.0,174121860.06409463,True
Information,12/18/2016 5:25:14 PM,Service Control Manager,7036.0,196069993.65410662,True
Information,12/18/2016 5:08:15 PM,Service Control Manager,7036.0,104050411.61186142,True
Information,12/18/2016 4:58:13 PM,Service Control Manager,7036.0,409698493.08671975,True
Information,12/18/2016 4:58:13 PM,Service Control Manager,7036.0,74135918.54011074,True
Information,12/18/2016 4:34:26 PM,Service Control Manager,7036.0,83890644.63091478,True
Information,12/18/2016 4:28:28 PM,Service Control Manager,7036.0,83890644.63091478,True
Information,12/18/2016 4:04:26 PM,Service Control Manager,7036.0,83890644.63091478,True
Information,12/18/2016 3:59:26 PM,Service Control Manager,7036.0,98847891.23328842,True
Information,12/18/2016 3:43:10 PM,Service Control Manager,7036.0,364826753.7172219,True
Information,12/18/2016 3:26:11 PM,Service Control Manager,7036.0,80639069.22847216,True
Information,12/18/2016 3:16:10 PM,Service Control Manager,7036.0,364826753.7172219,True
Information,12/18/2016 3:16:10 PM,Service Control Manager,7036.0,80639069.22847216,True
Information,12/18/2016 3:04:26 PM,Service Control Manager,7036.0,98847891.23328842,True
Information,12/18/2016 2:59:26 PM,Service Control Manager,7036.0,83890644.63091478,True
Information,12/18/2016 2:24:26 PM,Service Control Manager,7036.0,83890644.63091478,True
Information,12/18/2016 2:24:26 PM,Service Control Manager,7036.0,83890644.63091478,True
Information,12/18/2016 2:04:26 PM,Service Control Manager,7036.0,83890644.63091478,True
Information,12/18/2016 1:59:26 PM,Service Control Manager,7036.0,65031507.70820947,True
Information,12/18/2016 1:48:07 PM,Service Control Manager,7036.0,221920017.76506916,True
Information,12/18/2016 1:29:39 PM,Service Control Manager,7036.0,58528356.95738852,True
Information,12/18/2016 1:19:37 PM,Service Control Manager,7036.0,221920017.76506916,True
Information,12/18/2016 1:19:37 PM,Service Control Manager,7036.0,58528356.95738852,True
Information,12/18/2016 1:04:26 PM,Service Control Manager,7036.0,65031507.70820947,True
Information,12/18/2016 1:04:26 PM,Service Control Manager,7036.0,65031507.70820947,True
Information,12/18/2016 12:52:32 PM,Service Control Manager,7036.0,457496650.5378896,True
Information,12/18/2016 12:25:32 PM,Service Control Manager,7036.0,324344640.49589187,True
Information,12/18/2016 12:25:32 PM,Service Control Manager,7036.0,457496650.5378896,True
Information,12/18/2016 12:25:32 PM,Service Control Manager,7036.0,324344640.49589187,True
Information,12/18/2016 12:14:26 PM,Service Control Manager,7036.0,139817740.38939875,True
Information,12/18/2016 12:13:22 PM,Service Control Manager,7036.0,139817740.38939875,True
Information,12/18/2016 11:57:22 AM,Service Control Manager,7036.0,341415411.07226646,True
Information,12/18/2016 11:39:33 AM,Service Control Manager,7036.0,56902569.29409568,True
Information,12/18/2016 11:29:31 AM,Service Control Manager,7036.0,56902569.29409568,True
Information,12/18/2016 11:13:23 AM,Service Control Manager,7036.0,56902569.29409568,True
Information,12/18/2016 11:03:22 AM,Service Control Manager,7036.0,63405720.047706604,True
Information,12/18/2016 11:03:22 AM,Service Control Manager,7036.0,341415411.07226646,True
Information,12/18/2016 11:03:22 AM,Service Control Manager,7036.0,56902569.29409568,True
Information,12/18/2016 10:59:26 AM,Service Control Manager,7036.0,93320213.1207052,True
Information,12/18/2016 10:24:26 AM,Service Control Manager,7036.0,93320213.1207052,True
Information,12/18/2016 10:19:26 AM,Service Control Manager,7036.0,93320213.1207052,True
Information,12/18/2016 10:09:33 AM,Service Control Manager,7036.0,443840034.09394634,True
Information,12/18/2016 9:52:09 AM,Service Control Manager,7036.0,72835288.42682034,True
Information,12/18/2016 9:36:07 AM,Service Control Manager,7036.0,182413377.1854194,True
Information,12/18/2016 9:33:59 AM,Service Control Manager,7036.0,182413377.1854194,True
Information,12/18/2016 9:32:03 AM,Service Control Manager,7036.0,348731455.80756724,True
Information,12/18/2016 9:32:03 AM,Service Control Manager,7036.0,72835288.42682034,True
Information,12/18/2016 9:14:26 AM,Service Control Manager,7036.0,86491904.95059915,True
Information,12/18/2016 9:09:26 AM,Service Control Manager,7036.0,86491904.95059915,True
Information,12/18/2016 8:59:26 AM,Service Control Manager,7036.0,285325736.7858485,True
Information,12/18/2016 8:42:27 AM,Service Control Manager,7036.0,77387493.88221373,True
Information,12/18/2016 8:32:26 AM,Service Control Manager,7036.0,285325736.7858485,True
Information,12/18/2016 8:32:26 AM,Service Control Manager,7036.0,77387493.88221373,True
Information,12/18/2016 8:14:26 AM,Service Control Manager,7036.0,91044110.39672199,True
Information,12/18/2016 8:08:48 AM,Service Control Manager,7036.0,91044110.39672199,True
Information,12/18/2016 7:53:34 AM,Service Control Manager,7036.0,221920017.76506916,True
Information,12/18/2016 7:25:45 AM,Service Control Manager,7036.0,180950168.38690263,True
Information,12/18/2016 7:25:45 AM,Service Control Manager,7036.0,180950168.38690263,True
Information,12/18/2016 7:11:05 AM,Service Control Manager,7036.0,88442850.00855784,True
Information,12/18/2016 7:01:04 AM,Service Control Manager,7036.0,221920017.76506916,True
Information,12/18/2016 7:01:04 AM,Service Control Manager,7036.0,88442850.00855784,True
Information,12/18/2016 6:43:47 AM,Service Control Manager,7036.0,66657295.36906409,True
Information,12/18/2016 6:43:03 AM,Service Control Manager,7036.0,66657295.36906409,True
Information,12/18/2016 6:30:03 AM,Service Control Manager,7036.0,341415411.07226646,True
Information,12/18/2016 6:13:05 AM,Service Control Manager,7036.0,60154144.62086272,True
Information,12/18/2016 6:03:03 AM,Service Control Manager,7036.0,66657295.36906409,True
Information,12/18/2016 6:03:03 AM,Service Control Manager,7036.0,341415411.07226646,True
Information,12/18/2016 6:03:03 AM,Service Control Manager,7036.0,60154144.62086272,True
Information,12/18/2016 5:59:25 AM,Service Control Manager,7036.0,68283083.03024273,True
Information,12/18/2016 5:24:25 AM,Service Control Manager,7036.0,68283083.03024273,True
Information,12/18/2016 5:22:32 AM,Service Control Manager,7036.0,68283083.03024273,True
Information,12/18/2016 5:04:25 AM,Service Control Manager,7036.0,68283083.03024273,True
Information,12/18/2016 2:52:34 AM,Service Control Manager,7036.0,359461654.20493233,True
Information,12/18/2016 2:25:34 AM,Service Control Manager,7036.0,278985164.56949973,True
Information,12/18/2016 2:25:34 AM,Service Control Manager,7036.0,359461654.20493233,True
Information,12/18/2016 2:25:34 AM,Service Control Manager,7036.0,278985164.56949973,True
Information,12/18/2016 2:24:25 AM,Service Control Manager,7036.0,39994377.618721895,True
Information,12/18/2016 2:24:25 AM,Service Control Manager,7036.0,39994377.618721895,True
Information,12/18/2016 2:04:25 AM,Service Control Manager,7036.0,39994377.618721895,True
Information,12/18/2016 1:59:25 AM,Service Control Manager,7036.0,55927096.752671264,True
Information,12/18/2016 1:24:25 AM,Service Control Manager,7036.0,55927096.752671264,True
Information,12/18/2016 1:24:25 AM,Service Control Manager,7036.0,55927096.752671264,True
Information,12/18/2016 1:04:25 AM,Service Control Manager,7036.0,55927096.752671264,True
Information,12/17/2016 11:59:25 PM,Service Control Manager,7036.0,38043432.42426875,True
